Name,Cpu Name,Cpu Score,Gpu Name,Gpu Score,Disk Name,Disk Score,Ram Name,Ram Score,Total Score,Java Version,VM Version
CPX-M01W888U9IC,AMD A8 PRO-7150B R5; 10 Compute Cores 4C+6G,-,AMD Radeon(TM) R5 Graphics,-,SAMSUNG MZ7TE128HMGR-000H1 119GB,-,Samsung 8GB,-125127,-125127,1.8.0_144,25.144-b01
CPX-M01W888U9IC,AMD A8 PRO-7150B R5; 10 Compute Cores 4C+6G,-,AMD Radeon(TM) R5 Graphics,-,SAMSUNG MZ7TE128HMGR-000H1 119GB,31570,Samsung 8GB,-,31570,1.8.0_144,25.144-b01
